Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1502769,Der Zauberhut (Scheibenwelt #5),Terry Pratchett,"Pratchett, Terry",Andreas Brandhorst,"=""3492285171""","=""9783492285179""",4,3.91,Piper,Paperback,368,2004,1988,2020/09/18,2020/08/22,,,read,,,,2,0
27003,"The Eyre Affair (Thursday Next, #1)",Jasper Fforde,"Fforde, Jasper",,"=""0142001805""","=""9780142001806""",0,3.88,Penguin Books,Paperback,374,2003,2001,,2020/08/24,to-read,to-read (#49),to-read,,,,0,0
1502761,"Das Licht der Phantasie (Scheibenwelt, #2)",Terry Pratchett,"Pratchett, Terry",Andreas Brandhorst,"=""3492285015""","=""9783492285018""",4,4.00,Piper,Paperback,286,2005,1986,,2020/08/22,,,read,Die Truhe ist genial .... und hungrig,,,1,0
1237017,"Die Farben der Magie (Scheibenwelt, #1)",Terry Pratchett,"Pratchett, Terry",Andreas Brandhorst,"=""3492285104""","=""9783492285100""",4,4.00,Piper ,Paperback,270,2004,1983,,2020/08/22,,,read,"Herrlicher Humor, sehr hintersinnig, ...",,,1,0
15729539,NOS4A2,Joe Hill,"Hill, Joe",,"=""0062200577""","=""9780062200570""",0,4.08,William Morrow,Hardcover,692,2013,2013,,2020/07/28,to-read,to-read (#48),to-read,,,,0,0
7202841,"Locke & Key, Vol. 3: Crown of Shadows",Joe Hill,"Hill, Joe","Gabriel Rodríguez, Brian K. Vaughan","=""1600106951""","=""9781600106958""",0,4.39,IDW Publishing,Hardcover,152,2013,2010,,2020/07/28,to-read,to-read (#47),to-read,,,,0,0
17666457,Tränen sind immer das Ende,Akif Pirinçci,"Pirinçci, Akif",,"=""3442210259""","=""""",0,2.86,Goldmann Verlag,Paperback,256,1980,1980,,2020/07/28,to-read,to-read (#46),to-read,,,,0,0
45013523,Das Institut,Stephen King,"King, Stephen",Bernhard Kleinschmidt,"=""3453272374""","=""9783453272378""",0,4.20,Heyne Verlag,Hardcover,752,2019,2019,,2020/07/28,to-read,to-read (#45),to-read,,,,0,0
23810033,"Die verborgene Hand (Bite Back, #1)",Mark Henwick,"Henwick, Mark",Haike Falkenberg,"=""""","=""9780957374683""",0,4.04,Marque,ebook,574,2014,2012,,2019/10/20,to-read,to-read (#30),to-read,,,,0,0
52911169,Der Oktobermann,Ben Aaronovitch,"Aaronovitch, Ben",Christine Blum,"=""""","=""""",0,4.01,dtv,Kindle Edition,209,2019,2019,,2019/11/08,to-read,to-read (#43),to-read,,,,0,0
43822024,"The Toll (Arc of a Scythe, #3)",Neal Shusterman,"Shusterman, Neal",,"=""1481497065""","=""9781481497060""",4,4.20,Simon & Schuster Books for Young Readers,Hardcover,625,2019,2019,,2020/03/07,,,read,"Plot ist sehr gut ausgefeilt, interessante Wendung, World Building super",,,1,0
541868,"Die Gärten des Mondes (Das Spiel der Götter, #1)",Steven Erikson,"Erikson, Steven",Tim Straetmann,"=""3442249325""","=""9783442249329""",0,3.92,Blanvalet,Paperback,798,2000,1999,,2019/10/20,to-read,to-read (#31),to-read,,,,0,0
51914250,"Pile of Bones (The Legends of the First Empire, #0.5)",Michael J. Sullivan,"Sullivan, Michael J.",,"=""""","=""""",0,3.78,Independently published,ebook,36,2019,2019,,2019/10/20,to-read,to-read (#25),to-read,,,,0,0
51859965,Der Untergang der Könige (Drachengesänge #1),Jenn Lyons,"Lyons, Jenn","Urban Hofstetter, Michael Pfingstl","=""""","=""""",0,3.84,Klett-Cotta,Kindle Edition,863,2019,2019,,2019/11/08,to-read,to-read (#42),to-read,,,,0,0
51836105,Lockwood & Co. - Das Grauenvolle Grab,Jonathan Stroud,"Stroud, Jonathan",,"=""3570312917""","=""9783570312919""",5,4.61,cbt,Paperback,512,2019,2017,,2019/10/20,,,read,,,,1,0
33555224,"Thunderhead (Arc of a Scythe, #2)",Neal Shusterman,"Shusterman, Neal",,"=""1442472456""","=""9781442472457""",4,4.41,Simon & Schuster Books for Young Readers,Hardcover,504,2018,2018,2020/02/21,2020/02/09,,,read,Nett,,,2,0
26009736,Ukulele Strums,Kurt Thomas,"Thomas, Kurt",,"=""""","=""""",0,0.0,,Kindle Edition,,2015,2015,,2020/02/16,to-read,to-read (#44),to-read,,,,0,0
